,geoid,Census Tract,Population 12-17,"Population, error",POP00,POP10,Organization Name,County,DSA Track: Distinct Track Number,Priority,List Current and/or Planned Projects,Reason for priority?,Median Income,Median Income Error,In Labor Force,Civilian Labor Force,Employed,unemployed,Not in Labor Force,% Change Pop,% Unemployment
56,14000US39035103602,"Census Tract 1036.02, Cuyahoga, OH",3092,272,3344,3254,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035103602,32,"Church and State $70M mixed use residential/retail project Snavely Group, ?The Quarter? project $60M and Urban Community School projects both funded by NMTC","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",52781,15757,1978,1978,1821,157,907,-7.535885167464115,7.937310414560161
57,14000US39035103602,"Census Tract 1036.02, Cuyahoga, OH",3092,272,3344,3254,Cuyahoga County,Cuyahoga,39035103602,7,"Church & State $70M mixed use project; Snavely Group ""The Quarter"" $60M mixed use project and Urban Community School both funded by NMTC","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",52781,15757,1978,1978,1821,157,907,-7.535885167464115,7.937310414560161
58,14000US39035103602,"Census Tract 1036.02, Cuyahoga, OH",3092,272,3344,3254,City of Cleveland,Cuyahoga,39035103602,7,"Church & State $70M mixed use project; Snavely Group ""The Quarter"" $60M mixed use project and Urban Community School both funded by NMTC","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",52781,15757,1978,1978,1821,157,907,-7.535885167464115,7.937310414560161
59,14000US39035103900,"Census Tract 1039, Cuyahoga, OH",2200,283,2585,2042,CCH Development,Cuyahoga,39035103900,5,"Tract 1039 is well positioned to leverage investments in Ohio City and help create jobs for residents of the Clark-Fulton neighborhood. Projects such as the Gateway Animal Clinic, Horizon Education Center, United Bank Building and Platform Brewery- Gypsy Brewing are key projects that have helped to create jobs in the community. CCH Development has identified new investment opportunities that will continue to add to the employment base thus helping to grow the demand for new housing. One such project due to break ground in the next two years is the renovation of the former J. SPANG BAKING CO on Barber Avenue. The $14 million project calls for the historic renovation of the former bakery and the creation of 70 apartment units. Additionally, major infrastructure improvements are planned for the Clark Avenue Corridor. The City of Cleveland intends to begin reconstruction of the Clark Avenue roadway and replace sidewalks to improve the flow of traffic and spur development.",Census tract 1039 has great potential to leverage MetroHealth's $945 million campus transformation and there are developments plans expected in the next 1-4 years.,27220,5208,899,899,730,169,718,-14.893617021276595,18.798665183537263
60,14000US39035103900,"Census Tract 1039, Cuyahoga, OH",2200,283,2585,2042,The MetroHealth System,Cuyahoga,39035103900,5,"Tract 1039 is well positioned to leverage investments in Ohio City and help create jobs for residents of the Clark-Fulton neighborhood. Projects such as the Gateway Animal Clinic, Horizon Education Center, United Bank Building and Platform Brewery- Gypsy Brewing are key projects that have helped to create jobs in the community. CCH Development has identified new investment opportunities that will continue to add to the employment base thus helping to grow the demand for new housing. One such project due to break ground in the next two years is the renovation of the former J. SPANG BAKING CO on Barber Avenue. The $14 million project calls for the historic renovation of the former bakery and the creation of 70 apartment units. Additionally, major infrastructure improvements are planned for the Clark Avenue Corridor. The City of Cleveland intends to begin reconstruction of the Clark Avenue roadway and replace sidewalks to improve the flow of traffic and spur development.",Significant development has occurred and will continue to occur over the next decade as a result of the development in 1041.,27220,5208,899,899,730,169,718,-14.893617021276595,18.798665183537263
61,14000US39035103900,"Census Tract 1039, Cuyahoga, OH",2200,283,2585,2042,"Ohio City, Inc.",Cuyahoga,39035103900,3,There are 15-20 lots proposed for redevelopment along with growing market participation in the rehab of units or construction of new ones.,Contains a concentration of City/ County Land Bank lots that can be utilized for affordable/ workforce and market rate housing in a low income area. There are several developers lining up to develop these lots already.,27220,5208,899,899,730,169,718,-14.893617021276595,18.798665183537263
62,14000US39035103900,"Census Tract 1039, Cuyahoga, OH",2200,283,2585,2042,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035103900,36,"Key projects such as the Gateway Animal Clinic, Horizon Education Center, United Bank Building create jobs in the community. J. SPANG BAKING CO is a $14 million project. Major infrastructure improvements are planned for the Clark Avenue Corridor.","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",27220,5208,899,899,730,169,718,-14.893617021276595,18.798665183537263
63,14000US39035104100,"Census Tract 1041, Cuyahoga, OH",964,171,1441,1095,CCH Development,Cuyahoga,39035104100,4,"Tract 1041 is strategically located between the burgeoning Ohio City and Tremont neighborhoods. As a result, tract 1041 has experienced major investment that has grown the economic and housing base of the neighborhood. Nestle?s Professional Foods recently completed a $45 million expansion, boosting its employment to 210. There have also been major housing investments with new market rate apartments being introduced to the neighborhood. The mixed-use, $15 million Fairmount Creamery apartment complex and the $14 Wagner Awning Apartments demonstrate that development is moving south towards the Clark Fulton neighborhood and the MetroHealth main campus. This is further illustrated by the expected redevelopment of the TriVantage building which is owned by the Foran Group. This project is expected to increase the availability of new housing units and add cultural community space.",Census tract 1041 has great potential to leverage MetroHealth's $945 million campus transformation and there are developments plans expected in the next 1-3 years.,15385,3750,481,481,374,107,309,-33.10201249132547,22.245322245322246
64,14000US39035104100,"Census Tract 1041, Cuyahoga, OH",964,171,1441,1095,Sustainable Community Associates,Cuyahoga,39035104100,2,"? Nestle Manufacturing Plant Expansion (2013) - $20 Million ? Fairmount Creamery (2014) - $17 Million ? Wagner Awning Building (2016) - $15 Million ? Forest City Brewery & Duck Rabbit Coffee commercial cluster ($200,000+) ? Various Duck Island Townhome Investments - $10+ Million ? Red Line Greenway Trail Investment - $6 Million ? The Lincoln ? Planned Mixed-Use Development - $20 Million ? La Villa Hispana Neighborhood Downtown Investments ? $1+ Million ? Mayor?s Neighborhood Transformation Initiative plans to leverage bank, foundation, City, and other funding sources into this neighborhood ? Total funds $85+ Million ? Total Recent and Planned Development in this tract: $174+ Million As a developer, with plans for over $20 Million in investment in the Lincoln project (listed above) and over $32 Million invested in this tract over the past five years, this program is critical to attracting investment to our future projects and adding jobs to this Low Income Community.","This tract is part of Cleveland's thriving Tremont neighborhood, attracting over $20MM of investments in the past five years. It has many developable sites with plans for investment totaling over $100 million in the near future.",15385,3750,481,481,374,107,309,-33.10201249132547,22.245322245322246
65,14000US39035104100,"Census Tract 1041, Cuyahoga, OH",964,171,1441,1095,The MetroHealth System,Cuyahoga,39035104100,4,"Tract 1041 is strategically located between the burgeoning Ohio City and Tremont neighborhoods. As a result, tract 1041 has experienced major investment that has grown the economic and housing base of the neighborhood. Nestle?s Professional Foods recently completed a $45 million expansion, boosting its employment to 210. There have also been major housing investments with new market rate apartments being introduced to the neighborhood. The mixed-use, $15 million Fairmount Creamery apartment complex and the $14 Wagner Awning Apartments demonstrate that development is moving south towards the Clark Fulton neighborhood and the MetroHealth main campus. This is further illustrated by the expected redevelopment of the TriVantage building which is owned by the Foran Group. This project is expected to increase the availability of new housing units and add cultural community space.","Significant development has occurred and will continue to occur for the foreseeable future, serving as a catalyst for development south on W 25th towards tracts 1048,1049 and 1046.",15385,3750,481,481,374,107,309,-33.10201249132547,22.245322245322246
66,14000US39035104100,"Census Tract 1041, Cuyahoga, OH",964,171,1441,1095,"Ohio City, Inc.",Cuyahoga,39035104100,2,There are approximately 50 units currently under development and another 250 or more proposed to under development shortly.,This is another tract located within walking distance to light rail station as well paths that are part the Towpath/ Lakes trails system. There are also opportunities to leverage available land bank properties for affordable and workforce housing.,15385,3750,481,481,374,107,309,-33.10201249132547,22.245322245322246
67,14000US39035104100,"Census Tract 1041, Cuyahoga, OH",964,171,1441,1095,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035104100,26,"This tract is proximate to the Steelyard Commons retail complex, which recently underwent a multi-million dollar Phase II expansion. Infrastructure: Proximate to the W. 25th Street bus corridor which will feature streetscape improvements and transit efficiency upgrades funded by MetroHealth?s annual $4.1 million purchase of naming rights. Fairmont Creamery, a multi-million dollar mixed-use historic renovation by Sustainable Community Associates (SCA) including 30 new residential units, an athletic club, and retail; the Nina, a boutique collection of townhomes built by Knez Homes; Wagner Awning Apartments, a $14 million residential renovation by SCA.","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",15385,3750,481,481,374,107,309,-33.10201249132547,22.245322245322246
68,14000US39035104100,"Census Tract 1041, Cuyahoga, OH",964,171,1441,1095,Cuyahoga County,Cuyahoga,39035104100,16,"Fairmont Creamery, the Nina, Wagner Awning Apartments; This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development.","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",15385,3750,481,481,374,107,309,-33.10201249132547,22.245322245322246
69,14000US39035104100,"Census Tract 1041, Cuyahoga, OH",964,171,1441,1095,City of Cleveland,Cuyahoga,39035104100,16,"Fairmont Creamery, the Nina, Wagner Awning Apartments; This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development.","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",15385,3750,481,481,374,107,309,-33.10201249132547,22.245322245322246
70,14000US39035104200,"Census Tract 1042, Cuyahoga, OH",1196,102,1356,1143,Geis Co and Hemingway Development,Cuyahoga,39035104200,1,Owner is developing 24 acres of vacant land along Cuyahoga River located at the Scranton Peninsula for mixed use development. City and County government is supportive of the proposed project.,This site has the biggest opportunity for new investment as the land is currently vacant and development plans are underway. It has tremendous possibility for catalytic growth of the surrounding sites.,42241,14416,768,768,752,16,185,-11.799410029498524,2.083333333333333
71,14000US39035104200,"Census Tract 1042, Cuyahoga, OH",1196,102,1356,1143,"Ohio City, Inc.",Cuyahoga,39035104200,6,This tract consists of industrial lands as well a portion that is slated to be redeveloped. There are significant investments being made to build the Towpath trail through this area.,There is a proposal for a mix of light industrial and residential development in this area that could serve multiple purposes from a community and economic development perspective.,42241,14416,768,768,752,16,185,-11.799410029498524,2.083333333333333
72,14000US39035104200,"Census Tract 1042, Cuyahoga, OH",1196,102,1356,1143,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035104200,35,"Infrastructure: W. 25th Street bus corridor which will feature streetscape improvements and transit efficiency upgrades funded by MetroHealth?s annual $4.1 million purchase of naming rights. Residential: Catania Court Townhomes, built in 2017 featuring 4 newly-constructed energy efficient and high-income units; 75-unit market-rate apartment building seeking approval from City?s Planning Commission in 2018","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",42241,14416,768,768,752,16,185,-11.799410029498524,2.083333333333333
73,14000US39035104200,"Census Tract 1042, Cuyahoga, OH",1196,102,1356,1143,Cuyahoga County,Cuyahoga,39035104200,4,"This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",42241,14416,768,768,752,16,185,-11.799410029498524,2.083333333333333
74,14000US39035104200,"Census Tract 1042, Cuyahoga, OH",1196,102,1356,1143,City of Cleveland,Cuyahoga,39035104200,4,"This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",42241,14416,768,768,752,16,185,-11.799410029498524,2.083333333333333
75,14000US39035104300,"Census Tract 1043, Cuyahoga, OH",2059,182,1788,1603,"Ohio City, Inc.",Cuyahoga,39035104300,10,There has been significant private investment in this tract that has boosted the average selling price in this area significantly. Most new construction in the $300-400k range. There has also been significant development in the main neighborhood strip which includes main restaurants and small shops.,There are limited options for affordable infill development in this area. Market forces are pretty strong within this tract.,77622,12222,1619,1619,1522,97,246,15.156599552572708,5.991352686843731
76,14000US39035104300,"Census Tract 1043, Cuyahoga, OH",2059,182,1788,1603,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035104300,28,"This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development. Infrastructure: Proximate to the W. 25th Street bus corridor which will feature streetscape improvements and transit efficiency upgrades funded by MetroHealth?s annual $4.1 million purchase of naming rights.","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",77622,12222,1619,1619,1522,97,246,15.156599552572708,5.991352686843731
77,14000US39035104300,"Census Tract 1043, Cuyahoga, OH",2059,182,1788,1603,Cuyahoga County,Cuyahoga,39035104300,9,"This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development. Tremont Place Lofts, 102 market rate units built in 2009","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",77622,12222,1619,1619,1522,97,246,15.156599552572708,5.991352686843731
78,14000US39035104300,"Census Tract 1043, Cuyahoga, OH",2059,182,1788,1603,City of Cleveland,Cuyahoga,39035104300,9,"This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development. Tremont Place Lofts, 102 market rate units built in 2009","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",77622,12222,1619,1619,1522,97,246,15.156599552572708,5.991352686843731
79,14000US39035104400,"Census Tract 1044, Cuyahoga, OH",1288,145,1617,1498,Sustainable Community Associates,Cuyahoga,39035104400,1,"? Towpath Trail Stage 3 (Under Construction ? nearly complete) - $18.5 Million ? Clark Field Rehab (Planned) - $2.7 Million ? Wagner Awning Phase II (Proposed)- $17 Million ? Mixed Use Development at W. 14th and Kenilworth (Proposed) - $10 Million ? La Villa Hispana Neighborhood Downtown Investments ? $1+ Million ? Mayor?s Neighborhood Transformation Initiative leverages bank, foundation, City, and other funding sources into this neighborhood. ? Total funds $85+ Million ? Total Recent and Planned Development in this tract: $134+ Million As a developer with a newly acquired development site in this census tract, and plans to invest over $17 Million into a job creation project here, this tract's designation as a Qualified Opportunity Zone is critical to our mission of creating jobs in this Low Income Community.","This tract is part of Cleveland's thriving Tremont neighborhood, attracting over $20MM investments in the past two years. The area has many developable industrial and commercial sites with over $110 MM planned in the near future.",42813,8027,763,763,732,31,296,-20.346320346320347,4.062909567496723
80,14000US39035104400,"Census Tract 1044, Cuyahoga, OH",1288,145,1617,1498,"Ohio City, Inc.",Cuyahoga,39035104400,8,There is a park that is abandoned due to contamination. A portion of the Towpath trail also passes within this area.,This tract is dissected by a major highway intersection (I-71/90). There are pockets of residential areas in each quadrant formed by this intersection. There are aging (or non-existent) pedestrian links between the residential quadrants.,42813,8027,763,763,732,31,296,-20.346320346320347,4.062909567496723
81,14000US39035104400,"Census Tract 1044, Cuyahoga, OH",1288,145,1617,1498,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035104400,27,"One of the first targeted neighborhoods of Mayor Jackson?s Neighborhood Transformation Initiative, Clark Fulton, this adjacent tract should receive spillover effect of influx of capital around physical development. Small local retail businesses, including Cookie and a Cupcake and Bac Asian Bistro & Bar, located at E. 14th and Auburn, and Lucky?s Café and Lilly Handmade Chocolates located at Starkweather and Professor.","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",42813,8027,763,763,732,31,296,-20.346320346320347,4.062909567496723
82,14000US39035104400,"Census Tract 1044, Cuyahoga, OH",1288,145,1617,1498,Cuyahoga County,Cuyahoga,39035104400,13,"Aircraft Plating, Boxit Corp, Air Products, Catania Court, one of the first targeted neighborhoods of Mayor Jackson?s Neighborhood Transformation Initiative, Clark Fulton, this adjacent tract should receive spillover effect of influx of capital around physical development","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",42813,8027,763,763,732,31,296,-20.346320346320347,4.062909567496723
83,14000US39035104400,"Census Tract 1044, Cuyahoga, OH",1288,145,1617,1498,City of Cleveland,Cuyahoga,39035104400,13,"Aircraft Plating, Boxit Corp, Air Products, Catania Court, one of the first targeted neighborhoods of Mayor Jackson?s Neighborhood Transformation Initiative, Clark Fulton, this adjacent tract should receive spillover effect of influx of capital around physical development","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",42813,8027,763,763,732,31,296,-20.346320346320347,4.062909567496723
84,14000US39035104600,"Census Tract 1046, Cuyahoga, OH",1029,154,1359,1190,Metro West CDO,Cuyahoga,39035104600,2,"This census tract serves as the center of the La Villa Hispana project which seeks to turn the intersection of Clark and W 25th into a Latino themed business district. This project is home to the ""El Mercado"" project which serves as a business incubation space and has recently been awarded New Market Tax Credit Funding. This Census tract is also filled with numerous under utilized commercial buildings which give great potential to future development within the neighborhood. One such project is the Rivera building located at 3101 W 25th Street and is currently looking for financing. Finally this neighborhood is home to a scattered site LIHTC project that will fill in vacant lots and providing affordable home ownership opportunities to local families.","Home to numerous development projects, this census tract is vital to the La Villa Hispana project. This project is a core strategic focus for our organization and promises great changes in quality of life for our residents.",17137,4449,397,397,323,74,400,-24.282560706401764,18.639798488664987
85,14000US39035104600,"Census Tract 1046, Cuyahoga, OH",1029,154,1359,1190,CCH Development,Cuyahoga,39035104600,3,"Tract 1046 has seen significant investment in the community and housing infrastructure. Over $51 million has been invested over the course of the past 15 years. Recent projects include South Point Commons, Loft at Lion Mills, Hispanic UMADAOP Treatment Facility, and the new Fresenius Medical Care Facility. Like other census tracts along the West 25th Street Corridor, tract 1046 is adjacent to MetroHealth and is uniquely positioned to take advantage of the campus transformation. CCH Development is working with MetroHealth and community stakeholders to build a new MetroHealth Police Department and Center for Community Development. This project is expected to break ground in 2019. Additional community development projects are also planned to start in the next 1-2 years, including El Mercado (a Market Place designed to incubate small businesses) and a new Lincoln-West High School.",Census tract 1046 has great potential to leverage MetroHealth's $945 million campus transformation and there are developments plans expected in the next 1-2 years.,17137,4449,397,397,323,74,400,-24.282560706401764,18.639798488664987
86,14000US39035104600,"Census Tract 1046, Cuyahoga, OH",1029,154,1359,1190,The MetroHealth System,Cuyahoga,39035104600,3,"Tract 1046 has seen significant investment in the community and housing infrastructure. Over $51 million has been invested over the course of the past 15 years. Recent projects include South Point Commons, Loft at Lion Mills, Hispanic UMADAOP Treatment Facility, and the new Fresenius Medical Care Facility. Like other census tracts along the West 25th Street Corridor, tract 1046 is adjacent to MetroHealth and is uniquely positioned to take advantage of the campus transformation. CCH Development is working with MetroHealth and community stakeholders to build a new MetroHealth Police Department and Center for Community Development. This project is expected to break ground in 2019. Additional community development projects are also planned to start in the next 2 years, including El Mercado (a Market Place designed to incubate small businesses) and a new Lincoln-West High School.","Like Census Tract 1049, Tract 1046 is directly adjacent to Census Tract 1948 with this area to benefit from the spillover of its economic development momentum.",17137,4449,397,397,323,74,400,-24.282560706401764,18.639798488664987
87,14000US39035104600,"Census Tract 1046, Cuyahoga, OH",1029,154,1359,1190,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035104600,31,"This tract includes part of the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive both public and private capital for development.This tract encompasses the planned site for El Mercado, a $4.9 million retail incubator that will serve as a cultural neighborhood anchor and healthy food access point for Cleveland?s Hispanic community.","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",17137,4449,397,397,323,74,400,-24.282560706401764,18.639798488664987
88,14000US39035104600,"Census Tract 1046, Cuyahoga, OH",1029,154,1359,1190,Cuyahoga County,Cuyahoga,39035104600,32,"Lots at Lion Mills, $10M historic renovation. $4.9 El Mercado retail incubator; Platform Brewery; includes part of the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive both public and private capital for development","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",17137,4449,397,397,323,74,400,-24.282560706401764,18.639798488664987
89,14000US39035104600,"Census Tract 1046, Cuyahoga, OH",1029,154,1359,1190,City of Cleveland,Cuyahoga,39035104600,32,"Lots at Lion Mills, $10M historic renovation. $4.9 El Mercado retail incubator; Platform Brewery; includes part of the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive both public and private capital for development","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",17137,4449,397,397,323,74,400,-24.282560706401764,18.639798488664987
90,14000US39035104800,"Census Tract 1048, Cuyahoga, OH",1895,295,2395,2124,CCH Development,Cuyahoga,39035104800,1,"A significant amount of development occurred and is planned for Tract 1048. The census tract contains the 52-acre MetroHealth System main campus and the Steelyard Commons retail shopping center. The main campus of the MetroHealth System is currently undergoing a $945 million transformation. The project includes a new 270-room main hospital, outpatient plaza, skilled nursing facility, 1,400 space parking facility and a 7-acre urban park. The campus transformation project will leverage additional private investment in adjacent census tracts along the West 25th Street Corridor. The 120-acre Steelyard Commons represents a $140 million investment in a proven 700,000 square foot regional power center that opened in 2007. Even with a recent major expansion, the site still contains 15 acres of undeveloped land. Supporting the development in Tract 1048 is the Towpath Trail expansion and Neighborhood Connector trail system.",Census tract 1048 has great potential to leverage MetroHealth's $945 million campus transformation and there are developments plans expected in the immediate future.,30676,4842,897,881,761,120,486,-20.876826722338205,13.62088535754824
91,14000US39035104800,"Census Tract 1048, Cuyahoga, OH",1895,295,2395,2124,The MetroHealth System,Cuyahoga,39035104800,1,"Tract 1048 contains the 52-acre MetroHealth System main campus and the Steelyard Commons retail shopping center. The main campus of the MetroHealth System is currently undergoing a $945 million transformation. The project includes a new 270-room main hospital, outpatient plaza, skilled nursing facility, 1,400 space parking facility and a 7-acre urban park. The campus transformation project will leverage additional private investment in adjacent census tracts along the West 25th Street Corridor. The 120-acre Steelyard Commons represents a $140 million investment in a proven 700,000 square foot regional power center that opened in 2007. Even with a recent major expansion, the site still contains 15 acres of undeveloped land. Supporting the development in Tract 1048 is the Towpath Trail expansion and Neighborhood Connector trail system.","MetroHealth Hospital, the anchor institution in the census tract, is in the beginning stages of a $945 million investment with further investment opportunities to follow as a direct result. Formal developments plans are expected in the next year.",30676,4842,897,881,761,120,486,-20.876826722338205,13.62088535754824
92,14000US39035104800,"Census Tract 1048, Cuyahoga, OH",1895,295,2395,2124,"Ohio City, Inc.",Cuyahoga,39035104800,4,There is a hospital that is undergoing a $1B redevelopment in this tract. The hospital hopes to encourage development in the surrounding community where there are a few land bank opportunities as well.,The $1B renovation of the area hospital will be catalyst for redevelopment in this area.,30676,4842,897,881,761,120,486,-20.876826722338205,13.62088535754824
93,14000US39035104800,"Census Tract 1048, Cuyahoga, OH",1895,295,2395,2124,"Greater Cleveland Partnership, Fund for Our Economic Future, TeamNEO, and partners",Cuyahoga,39035104800,30,"This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development. This tract includes MetroHealth Hospitals? main campus, which is undergoing a $946 million renovation and expansion. This tract is proximate to the Steelyard Commons retail complex, which recently underwent a multi-million dollar Phase II expansion. Infrastructure: Proximate to the W. 25th Street bus corridor which will feature streetscape improvements and transit efficiency upgrades funded by MetroHealth?s annual $4.1 million purchase of naming rights.","This prioritization results from a collaborative, data-driven approach that emphasized clustering zones based on capital absorption and growth potential. This tract is part of our Ohio City, Tremont & W25th Corridor development cluster.",30676,4842,897,881,761,120,486,-20.876826722338205,13.62088535754824
94,14000US39035104800,"Census Tract 1048, Cuyahoga, OH",1895,295,2395,2124,Cuyahoga County,Cuyahoga,39035104800,18,"Metro Lofts; This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development.","One of 70 equally ranked GCP/Cleveland/Cuyahoga/FFOEF Consensus tracts.  All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance",30676,4842,897,881,761,120,486,-20.876826722338205,13.62088535754824
95,14000US39035104800,"Census Tract 1048, Cuyahoga, OH",1895,295,2395,2124,City of Cleveland,Cuyahoga,39035104800,18,"Metro Lofts; This tract is near the Clark-Metro focus area of Mayor Jackson?s Neighborhood Transformation Initiative, and consequently it should receive a spillover of capital and physical development.","One of 70 equally ranked GCP/Cleveland/Cuyahoga Consensus tracts. All 70 tracts are a joint regional priority, selected by analyzing past and planned investment, other indicators of ability to attract investment, and strategic importance.",30676,4842,897,881,761,120,486,-20.876826722338205,13.62088535754824
96,14000US39035104900,"Census Tract 1049, Cuyahoga, OH",2470,321,3241,2493,Metro West CDO,Cuyahoga,39035104900,3,"Across the street for Metro Health's planned $800,000,000 campus transformation. This census tract contains numerous vacant buildings and lots that offer the potential for development and job creation in the community. Metro Health is working actively with partners to develop these spaces.","Directly adjacent to the metro health campus transformation, this census tract offers opportunity for development of vacant sites and under utilized spaces.",26181,2186,1161,1161,985,176,758,-23.78895402653502,15.15934539190353
97,14000US39035104900,"Census Tract 1049, Cuyahoga, OH",2470,321,3241,2493,CCH Development,Cuyahoga,39035104900,2,"Tract 1049 is strategically positioned to leverage the $945 million MetroHealth campus transformation project. CCH Development is currently working with key community stakeholders to identify underutilized properties and facilitate strategic development opportunities that complement the new main campus. Projects that are under consideration include housing for Physicians conducting their residency at MetroHealth. Additionally, CCH Development has been working with the Greater Cleveland RTA to improve public transportation. In 2017 MetroHealth made a $4.1 million, 25-year investment with RTA for the naming right of the West 25th Street Corridor bus-line. This investment is part of a larger initiative to improve public transit all along the corridor by implementing a Bus-Rapid-Transit system.",Census tract 1049 has great potential to leverage MetroHealth's $945 million campus transformation and there are developments plans expected in the next year.,26181,2186,1161,1161,985,176,758,-23.78895402653502,15.15934539190353
